raceId,driverId,fastestLapSpeed
1073,830,220.8
1073,1,219.495
1073,832,216.982
1073,852,217.285
1073,842,217.668
1073,822,218.871
1073,846,219.123
1073,4,217.01
1073,839,215.431
1073,844,214.983
1073,20,215.299
1073,817,214.28
1073,840,214.657
1073,854,212.522
1073,815,219.993
1073,849,212.912
1073,841,212.557
1073,847,209.732
1073,8,211.951
1073,853,
1072,1,244.962
1072,830,242.943
1072,822,243.155
1072,839,242.125
1072,817,239.725
1072,842,240.813
1072,844,242.643
1072,832,241.983
1072,841,239.34
1072,846,241.817
1072,840,239.498
1072,849,239.635
1072,4,242.558
1072,852,240.269
1072,8,239.565
1072,20,236.375
1072,815,236.104
1072,853,229.036
1072,847,231.211
1072,854,231.421
1071,1,215.503
1071,830,214.005
1071,822,213.887
1071,815,218.453
1071,844,213.018
1071,832,213.346
1071,842,211.839
1071,839,208.415
1071,4,209.848
1071,846,210.306
1071,20,210.668
1071,8,213.607
1071,847,208.626
1071,841,208.985
1071,852,209.05
1071,849,207.896
1071,853,206.958
1071,854,210.215
1071,817,208.379
1071,840,205.887
1070,830,196.134
1070,1,194.116
1070,815,194.976
1070,842,192.453
1070,844,192.083
1070,832,193.484
1070,20,192.572
1070,8,191.969
1070,4,191.973
1070,846,192.197
1070,841,190.061
1070,817,191.126
1070,839,190.47
1070,840,191.454
1070,822,199.223
1070,847,188.919
1070,849,190.008
1070,853,190.344
1070,854,
1070,852,
1069,830,200.278
1069,1,201.521
1069,815,199.333
1069,844,199.861
1069,817,197.785
1069,822,198.176
1069,832,197.722
1069,846,198.016
1069,852,196.209
1069,20,197.517
1069,841,196.221
1069,840,196.135
1069,8,195.843
1069,847,196.269
1069,849,194.924
1069,854,195.737
1069,853,192.9
1069,4,198.335
1069,839,194.207
1069,842,194.547
1067,822,212.5
1067,830,207.169
1067,815,207.841
1067,844,207.218
1067,1,207.16
1067,842,207.046
1067,846,207.87
1067,832,209.057
1067,840,207.506
1067,839,203.171
1067,841,206.845
1067,8,207.556
1067,817,206.067
1067,852,206.979
1067,847,205.749
1067,4,206.073
1067,849,205.149
1067,20,207.233
1067,854,203.98
1067,853,201.353
1066,1,215.76
1066,830,213.959
1066,832,212.024
1066,817,212.388
1066,822,214.352
1066,4,213.331
1066,846,216.096
1066,8,209.921
1066,815,212.193
1066,847,209.28
1066,840,209.555
1066,20,212.116
1066,842,214.214
1066,839,209.276
1066,844,212.667
1066,841,212.53
1066,852,210.612
1066,853,206.982
1066,849,210.528
1066,854,209.948
1065,817,245.894
1065,846,245.434
1065,822,245.85
1065,844,244.433
1065,815,244.901
1065,832,243.747
1065,840,242.912
1065,4,243.995
1065,847,242.963
1065,839,243.727
1065,849,242.63
1065,20,242.672
1065,841,243.295
1065,9,242.924
1065,854,240.52
1065,853,239.155
1065,1,242.864
1065,830,244.852
1065,842,234.31
1065,852,
1064,830,209.244
1064,1,215.654
1064,822,211.338
1064,842,204.929
1064,844,205.033
1064,4,206.294
1064,832,203.725
1064,815,208.714
1064,839,205.321
1064,846,206.535
1064,817,204.65
1064,840,202.78
1064,20,207.312
1064,841,204.091
1064,9,203.234
1064,849,202.301
1064,847,202.734
1064,854,201.936
1064,852,202.319
1064,853,201.567
1063,830,
1063,847,
1063,1,
1063,817,
1063,20,
1063,842,
1063,839,
1063,844,
1063,849,
1063,832,
1063,4,
1063,822,
1063,841,
1063,846,
1063,852,
1063,854,
1063,853,
1063,8,
1063,815,
1063,840,
1062,839,193.704
1062,1,200.363
1062,832,193.699
1062,4,196.264
1062,842,201.183
1062,852,191.286
1062,849,190.406
1062,847,192.074
1062,830,194.843
1062,8,193.473
1062,817,190.473
1062,854,190.683
1062,841,190.625
1062,853,
1062,846,
1062,822,
1062,815,
1062,844,
1062,840,
1062,20,193.613
1061,1,236.43
1061,844,234.159
1061,822,234.275
1061,846,231.979
1061,817,232.325
1061,832,232.48
1061,4,231.276
1061,840,230.537
1061,839,229.992
1061,852,233.497
1061,842,234.945
1061,847,230.394
1061,841,229.653
1061,849,229.328
1061,8,230.78
1061,815,239.317
1061,853,228.262
1061,854,228.377
1061,20,227.894
1061,830,
1060,830,234.815
1060,822,227.349
1060,846,227.027
1060,1,228.177
1060,832,229.402
1060,815,227.956
1060,817,225.876
1060,844,226.277
1060,842,228.11
1060,4,227.246
1060,847,225.613
1060,852,227.08
1060,840,226.405
1060,841,225.149
1060,8,225.699
1060,849,226.865
1060,20,227.196
1060,854,224.007
1060,853,222.842
1060,839,
1059,830,218.156
1059,1,215.903
1059,815,217.504
1059,822,216.905
1059,846,215.87
1059,817,213.896
1059,842,214.378
1059,4,215.382
1059,20,216.508
1059,840,214.981
1059,832,212.584
1059,847,213.918
1059,852,212.479
1059,839,213.2
1059,841,213.077
1059,844,215.304
1059,8,214.621
1059,849,213.92
1059,854,212.765
1059,853,211.758
1058,830,228.542
1058,1,231.811
1058,822,226.537
1058,815,228.956
1058,846,225.604
1058,832,226.57
1058,844,226.145
1058,840,222.746
1058,4,222.867
1058,852,223.184
1058,8,224.869
1058,20,222.637
1058,817,224.295
1058,839,223.421
1058,841,222.95
1058,854,222.052
1058,849,221.739
1058,853,219.092
1058,847,220.496
1058,842,
1057,815,206.432
1057,20,206.032
1057,842,205.386
1057,844,205.071
1057,846,205.18
1057,4,204.601
1057,852,205.936
1057,832,204.454
1057,817,204.428
1057,8,204.645
1057,841,204.696
1057,822,204.521
1057,854,200.799
1057,853,200.569
1057,1,206.27
1057,849,202.712
1057,847,203.954
1057,830,206.839
1057,840,203.478
1057,839,194.955
1056,832,160.989
1056,830,160.929
1056,846,160.883
1056,815,161.138
1056,20,159.503
1056,842,159.3
1056,1,164.769
1056,840,160.875
1056,839,159.503
1056,841,159.472
1056,8,160.237
1056,817,161.082
